TimeStamp, X, Y, Z
8/13/2020 23:53,0.038,0.04,1.02
8/13/2020 23:53,0.043,0.04,1.014
8/13/2020 23:53,0.042,0.036,1.011
8/13/2020 23:53,0.04,0.041,1.012
8/13/2020 23:53,0.04,0.043,1.009
8/13/2020 23:53,0.034,0.044,1.012
8/13/2020 23:53,0.039,0.038,1.015
8/13/2020 23:53,0.036,0.042,1.014
8/13/2020 23:53,0.036,0.04,1.015
8/13/2020 23:53,0.035,0.038,1.012
8/13/2020 23:53,0.036,0.041,1.014
8/13/2020 23:53,0.037,0.036,1.012
8/13/2020 23:53,0.04,0.042,1.009
8/13/2020 23:53,0.041,0.037,1.001
8/13/2020 23:53,0.041,0.044,1.015
8/13/2020 23:53,0.037,0.04,1.018
8/13/2020 23:53,0.038,0.041,1.006
8/13/2020 23:53,0.036,0.038,1.021
8/13/2020 23:53,0.036,0.038,1.019
8/13/2020 23:53,0.039,0.042,1.009
8/13/2020 23:53,0.04,0.042,1.014
8/13/2020 23:53,0.037,0.042,0.999
8/13/2020 23:53,0.043,0.043,1.009
8/13/2020 23:53,0.039,0.039,1.017
8/13/2020 23:53,0.037,0.041,1.009
8/13/2020 23:53,0.038,0.04,1.014
8/13/2020 23:53,0.037,0.04,1.012
8/13/2020 23:53,0.039,0.045,1.008
8/13/2020 23:53,0.041,0.04,1.009
8/13/2020 23:53,0.042,0.042,1.012
8/13/2020 23:53,0.037,0.043,1.011
8/13/2020 23:53,0.039,0.038,1.016
8/13/2020 23:53,0.042,0.041,1.017
8/13/2020 23:53,0.039,0.043,1.013
8/13/2020 23:53,0.041,0.041,1.017
8/13/2020 23:53,0.042,0.039,1.007
8/13/2020 23:53,0.042,0.039,1.004
8/13/2020 23:53,0.038,0.039,1.004
8/13/2020 23:53,0.034,0.04,1.014
8/13/2020 23:53,0.042,0.044,1.021
8/13/2020 23:53,0.04,0.033,1
8/13/2020 23:53,0.039,0.043,1.024
8/13/2020 23:53,0.043,0.039,1.01
8/13/2020 23:53,0.038,0.041,1.014
8/13/2020 23:53,0.037,0.038,1.011
8/13/2020 23:53,0.041,0.039,1.009
8/13/2020 23:53,0.036,0.041,1.018
8/13/2020 23:53,0.037,0.039,1.021
8/13/2020 23:53,0.035,0.037,1.012
8/13/2020 23:53,0.036,0.043,1.007
8/13/2020 23:53,0.035,0.039,1.02
8/13/2020 23:53,0.042,0.042,1.009
8/13/2020 23:53,0.04,0.044,1.019
8/13/2020 23:53,0.045,0.041,1.015
8/13/2020 23:53,0.034,0.044,1.009
8/13/2020 23:53,0.035,0.036,1.009
8/13/2020 23:53,0.044,0.044,1.015
8/13/2020 23:53,0.04,0.037,1.006
8/13/2020 23:53,0.044,0.044,1.021
8/13/2020 23:53,0.041,0.04,1.013
8/13/2020 23:53,0.038,0.039,1.012
8/13/2020 23:53,0.037,0.041,1.019
8/13/2020 23:53,0.032,0.039,1.009
8/13/2020 23:53,0.038,0.043,1.007
8/13/2020 23:53,0.041,0.038,1.009
8/13/2020 23:53,0.041,0.043,1.017
8/13/2020 23:53,0.038,0.039,1.016
8/13/2020 23:53,0.039,0.04,1.008
8/13/2020 23:53,0.04,0.043,1.002
8/13/2020 23:53,0.042,0.045,1.016
8/13/2020 23:53,0.042,0.041,1.007
8/13/2020 23:53,0.034,0.043,1.02
8/13/2020 23:53,0.035,0.038,1.019
8/13/2020 23:53,0.037,0.044,1.017
8/13/2020 23:53,0.043,0.04,1.016
8/13/2020 23:53,0.038,0.036,1.015
8/13/2020 23:53,0.038,0.044,1.016
8/13/2020 23:53,0.035,0.041,1.018
8/13/2020 23:53,0.039,0.041,1.011
8/13/2020 23:53,0.039,0.037,1.012
8/13/2020 23:53,0.04,0.041,1.008
8/13/2020 23:53,0.041,0.041,1.01
8/13/2020 23:53,0.038,0.041,1.015
8/13/2020 23:53,0.038,0.035,1.012
8/13/2020 23:53,0.038,0.043,1.015
8/13/2020 23:53,0.038,0.039,1.012
8/13/2020 23:53,0.036,0.04,1.013
8/13/2020 23:53,0.041,0.043,1.005
8/13/2020 23:53,0.039,0.042,1.01
8/13/2020 23:53,0.04,0.046,1.003
8/13/2020 23:53,0.042,0.041,1.006
8/13/2020 23:53,0.045,0.039,1.009
8/13/2020 23:53,0.045,0.037,1.01
8/13/2020 23:53,0.04,0.043,1.018
8/13/2020 23:53,0.036,0.041,1.017
8/13/2020 23:53,0.037,0.044,1.012
8/13/2020 23:53,0.035,0.04,1.006
8/13/2020 23:53,0.038,0.048,1.015
8/13/2020 23:53,0.04,0.041,1.01
8/13/2020 23:53,0.035,0.041,1.011
8/13/2020 23:53,0.045,0.037,1.02
8/13/2020 23:53,0.04,0.041,1.018
8/13/2020 23:53,0.035,0.041,1.01
8/13/2020 23:53,0.037,0.047,1.017
8/13/2020 23:53,0.037,0.036,1.005
8/13/2020 23:53,0.039,0.039,1.011
8/13/2020 23:53,0.04,0.043,1.012
